lemma,count
moreau,13
employ,13
maker,13
glass,13
anthony,13
flee,13
preserve,13
snapshot,13
davis,13
cousin,13
sparkle,13
choice,13
unlike,13
giant,13
guide,13
lone,13
shop,13
central,13
complexity,13
eighteenth,13
meanwhile,13
detective,13
shakespeare,13
oshima,13
worldwide,12
alone,12
corner,12
leigh,12
progress,12
scale,12
korean,12
chris,12
sensational,12
rough,12
betrayal,12
upper,12
robbery,12
mad,12
spin,12
ritual,12
imbue,12
medieval,12
doinel,12
celebrity,12
doom,12
agree,12
m,12
bernard,12
antonioni,12
disturb,12
northern,12
taboo,12
warm,12
transfer,12
wry,12
claire,12
structure,12
businessman,12
mizoguchi,12
captain,12
roberto,12
possibility,12
possible,12
sensibility,12
straight,12
navigate,12
explosive,12
bare,12
farmer,12
club,12
nefarious,12
accuse,12
loyalty,12
venice,12
achieve,12
imaginative,12
etaix,12
lawyer,12
sacrifice,12
stanley,12
johnny,12
sexually,12
operatic,12
intensely,12
variety,12
journalist,12
oppression,12
originally,12
moviemaking,12
savage,12
texture,12
walter,12
guitry,12
talk,12
prisoner,12
assemble,12
verite,12
maintain,12
roger,12
donald,12
breathless,12
magnetic,12
folk,12
newcomer,12
array,12
ullmann,12
innocence,12
survival,12
tati,12
antonio,12
corruption,12
crumble,12
roll,12
eighty,12
johnson,12
month,12
cary,12
god,12
highly,12
prince,12
absurdity,12
southern,12
compromise,12
entirely,12
editor,12
longing,12
harris,12
exist,12
avant,12
wedding,12
costa,12
executive,12
ultimate,12
nomination,12
embody,12
court,12
uncompromising,12
alfred,12
charlie,12
homage,12
wolf,12
devote,12
happen,12
exhilarate,12
loose,12
aid,12
invention,11
represent,11
plague,11
frequent,11
mexican,11
philip,11
harold,11
forget,11
treatment,11
weekend,11
convention,11
trap,11
bjornstrand,11
unprecedented,11
eclectic,11
douglas,11
best,11
each,11
multilayere,11
enchanting,11
cool,11
whirlwind,11
absurd,11
royal,11
fully,11
cruel,11
directly,11
miss,11
victim,11
richly,11
letter,11
revelation,11
pick,11
imagine,11
leading,11
garde,11
charismatic,11
gift,11
wander,11
alcoholic,11
charming,11
enormous,11
ralph,11
hopkins,11
technology,11
jane,11
burst,11
gang,11
anxiety,11
inspector,11
werner,11
colorful,11
economic,11
linklater,11
cop,11
occupy,11
air,11
neighbor,11
pain,11
spirited,11
satirical,11
atmosphere,11
literary,11
clear,11
broadway,11
heartbreak,11
anti,11
during,11
kick,11
ravage,11
transcendent,11
marie,11
suffer,11
pierce,11
incomparable,11
camp,11
tense,11
pinnacle,11
remarkably,11
intensity,11
dvd,11
effortlessly,11
commercial,11
loss,11
universal,11
customary,11
tumultuous,11
con,11
seaside,11
term,11
hot,11
superstar,11
male,11
polanski,11
natured,11
twelve,11
twin,11
fifteen,11
map,11
patient,11
routine,11
headline,11
circle,11
territory,11
closely,11
wayward,11
nonprofessional,11
aesthetic,11
stay,11
czech,11
wai,11
meeting,11
cocteau,11
value,11
rage,11
isolation,11
religious,11
deadpan,11
alongside,11
gregory,11
ask,11
meticulous,11
scenario,11
hometown,11
ongoing,11
jim,11
monterey,11
juliette,11
fighter,11
fuller,11
jeanne,11
refuse,11
concert,11
milestone,11
poor,11
kaleidoscopic,11
yasujiro,11
intrigue,11
mailer,11
suburban,11
scathe,11
route,11
brooks,11
sight,11
current,11
candid,11
general,11
door,11
ed,11
philosopher,10
masseur,10
premiere,10
tone,10
decay,10
pursuit,10
station,10
christian,10
affection,10
howard,10
illuminate,10
bittersweet,10
sadistic,10
drifter,10
bar,10
sell,10
enormously,10
e,10
machine,10
benchmark,10
living,10
uncover,10
choreograph,10
ancient,10
beguile,10
mike,10
rarely,10
shine,10
pressburger,10
realistic,10
rod,10
sprawl,10
inquiry,10
where,10
murray,10
institute,10
macabre,10
